behav,S,a1,a2,a5,a6,a7,h1,h2,h5,c1,c2,c3,c4,d1,d3,Decay1,Decay2,Decay4,Decay7,Decay8,leakage_A1,leakage_B,leakage_HSPR,hstart,hduration,model_name,end_time
sto,41.71453891018472,33.36714965426457,198.1631396983081,23.432330127040412,2,300,9.764776992622716,4.916108440204133,9.323192859080995,5.718720921111542,2.2603270317528406,6.349823307127274,1.2616159637216808,0.078022107,0.015167616959652346,0.04,0.04,0.04,0.04,0.04,0.00553611,0.00387265,0.007284501,600,30,replaceA1,1000.004472
sto,41.09093472280931,21.41436647409052,243.0063023127295,41.78948906921661,2,300,3.7480397693437344,3.2341756727968636,6.032211290528153,5.275816705211762,3.2858096167598974,13.023168261803777,1.9041206772448476,0.098785758,0.041392944098646876,0.04,0.04,0.04,0.04,0.04,0.008322418,0.008139317,0.008948571,600,30,replaceA1,1000.0006028871888
sto,37.95601396463066,43.451067968367596,174.84870551117234,11.417441549149807,2,300,5.642698539117698,3.0998746540859186,6.633929938645771,12.92157171610572,3.1622046704902065,14.338040942844831,1.0278523723571673,0.032271421,0.080080425,0.04,0.04,0.04,0.04,0.04,0.004430143,0.009937789,0.009016698,600,30,replaceA1,1000.0001024954863
sto,3.4102356199450785,10,100,10,2,300,1,1,1,10,1,5,1,0.1,0.01,0.04,0.04,0.04,0.04,0.04,0.001,0.001,0.001,600,30,replaceA1,1000.0032999964541
det,26.562741525290196,38.25693117557954,208.86589240949917,42.59072834125092,2,300,3.8189301408465344,4.4243795214144255,5.214362755656532,5.948108836684479,3.525344828501746,10.208739257772912,0.034198535,0.036137102,0.016656075052252875,0.04,0.04,0.04,0.04,0.04,0.009860954,0.004897718,0.001922752,600,30,replaceA1,1000.0001807899714
det,26.344810732066833,38.71131929616257,115.26340192907752,18.795969084299454,2,300,6.963179641201877,5.035656470922657,5.5875536027119965,10.987384650767991,1.813175166033318,8.061562829,0.5520861465589193,0.096925789,0.069245018,0.04,0.04,0.04,0.04,0.04,0.009888223,0.007223768,0.005554883,600,30,replaceA1,1000.0015057245154
det,21.012902113403232,47.403857570635445,166.51653393229893,18.954855701761108,2,300,2.259543017437716,2.8809545285688234,1.4552342795722244,10.08410521567329,1.4043695134849588,10.947159817639188,0.6691863203780115,0.069192658,0.023534614,0.04,0.04,0.04,0.04,0.04,0.005134715,0.006367423,0.001956511,600,30,replaceA1,1000.0009391868807
sto,20.561736191372123,26.791888743993756,218.2677555236816,14.15371087022777,2,300,5.134501713102466,3.346393083452475,3.757783435427662,11.072162111987197,2.9962852645738787,8.905894075458681,1.435439157545841,0.016958027,0.041132097,0.04,0.04,0.04,0.04,0.04,0.004014133,0.004982996,0.008596558,600,30,replaceA1,1000.000982034322
sto,2.551263814564775,24.69575854,205.1483488846525,28.67256152,2,300,8.783043747124427,1.8530002438119464,6.617462617701374,7.704713787663424,4.312330508430957,12.41140837322271,0.5885478403609629,0.070661839,0.031623541,0.04,0.04,0.04,0.04,0.04,0.002387164,0.00331675,0.002905847,600,30,replaceA1,1000.0002761089293
det,18.591828463269774,33.83617331494358,177.29900570614063,49.015846890411524,2,300,3.297658825062354,3.7877419266319157,5.6329099888847685,7.0980890034337305,2.4004725834313696,5.833296479,0.6971517366283775,0.036666136313602715,0.087531396,0.04,0.04,0.04,0.04,0.04,0.005598644,0.001501854,0.009007583,600,30,replaceA1,1000.001199809117
det,18.50594910159747,16.265070207438967,141.3438488983369,20.96221966611549,2,300,2.9369191081986123,5.279163738416525,4.776352640696947,10.863633320422192,3.3091244069649632,13.725345105038665,0.18746864406642116,0.021903139696363372,0.083246478,0.04,0.04,0.04,0.04,0.04,0.002298485,0.001124011,0.003506264,600,30,replaceA1,1000.0008243885087
det,16.26362100324716,19.161533780163722,181.19856029873384,23.847055953858018,2,300,4.8180955933881755,3.8873621947777353,9.579932649744036,8.394747730141372,2.3517522072086026,11.090429573552585,1.2741288069607006,0.016740486938823206,0.05650899,0.04,0.04,0.04,0.04,0.04,0.006297303,0.008257772,0.001277513,600,30,replaceA1,1000.0023323786249
sto,16.253886072876725,41.91915117178917,187.53436881017487,30.94852213828386,2,300,5.842822491983202,7.704688583021008,7.767862395867191,10.146056156209989,1.7635315662273277,6.504564785552143,0.4213875223374325,0.051604675,0.096524353,0.04,0.04,0.04,0.04,0.04,0.009945396,0.00584436,0.003842066,600,30,replaceA1,1000.0009036913481
